,title,price,img,post,condition
78,Ampeg SVT 810 400W Bass Amplifier Extension Speaker,520,https://images.craigslist.org/00X0X_k7BIPcqqOzJ_600x450.jpg,"Fair Cosmetic Condition, but Functions Flawlessly!",fair
79,Bass Traps / Acoustic Panels,80,https://images.craigslist.org/00j0j_gOvOpcVobQw_600x450.jpg,"I'm downsizing my studio and as such selling a portion of my custom acoustic panels

-low VOC materials - Knaupf Earthwool, zero VOC pine plywood and glue
-covered in the thinnest possible painters plastic to keep insulation fibers from escaping and floating free. does not affect treble frequencies with the fabric over it.
-breathable black fabric outer wrap, front and back
-Pro aesthetic - beveled edges on the front of the wood frame, and a useful back frame that makes hanging options a breeze

I have:
4ft X 2ft X 4"" Knaupf Earthwool $80 ea
4ft X 2ft X 2"" Knaupf Earthwool $60 ea
4ft X 1ft X 4"" Ultratouch Denim $60 ea

Custom made from extremely high quality materials that were selected for maximum acoustic effectiveness. As someone with asthma, acoustic panels can wreak havoc on your breathing and lung health (even if you don't have asthma) if not crafted/covered correctly -- so these are about the healthiest possible thing, half the price and a step up from mixmasteredacoustics, acoustical solutions, etc.

First come first serve. Let me know what quantity and size of panel you're interested in -- I have almost sold out of the 2"" panels, prob 4 left.",
80,2001 Ibanez SR885 5-String Active Bass,465,https://images.craigslist.org/00U0U_2lGeoquBgG1_600x450.jpg,"Good Cosmetic Condition, Exceptional Playing Condition!",good
81,Katz Audio 118 Electro-Voice EVX-180 1000W Bass Amp Extension Cabinet,520,https://images.craigslist.org/00505_5Vhhy0spMrD_600x450.jpg,"Good Cosmetic Condition, but Sounds Immense!",good
82,Ludwig Acrolite RARE Vintage 1965,275,https://images.craigslist.org/00t0t_6BjErZyUPu_600x450.jpg,Awesome condition- vintage 1965- new batter head- baseball bat muffler- hard to find in this condition-,
83,1997 Fender Custom Shop Jimi Hendrix Monterey Pop Strat,25000,https://images.craigslist.org/01414_4IGtJsD5zl2_600x450.jpg,"Mint Condition!!!

#144 out of #210!",like new
84,2009 Gibson SG Special,900,https://images.craigslist.org/00000_iKD1yqfEdkH_600x450.jpg,"A few very light surface scratches, nothing through the lacquer though, that can be found on the body upon close inspection--light buckle rash; The pickguard has scratches on it from typical use; A few scratches can be seen on the electronics cover",excellent
85,CAD C195 Condenser Vocal Microphone,160,https://images.craigslist.org/01414_8YPHAQFcQa_600x450.jpg,Brand New!,new
86,Ashly FTX-1501 Stereo MOSFET 275W Power Amp,280,https://images.craigslist.org/00J0J_lRctsVPUT6H_600x450.jpg,Excellent Condition!,excellent
87,PRS S2 standard 24 guitar,770,https://images.craigslist.org/00000_1aqWUNTvgKb_600x450.jpg,"Beautiful guitar in perfect condition! call or text if you'd like to try it out! 

Originally prices @ $999

* Satin finish 
* 25""-scale mahogany Pattern Regular neck with 24-fret rosewood fingerboard 
* PRS 85/15 humbuckers with coil tap on push/pull tone knob
* Patented PRS tremolo bridge
* PRS locking low-mass tuners

Come with PRS bag!",excellent
88,Selmer Bundy II Also Sax,100,https://images.craigslist.org/00F0F_jb1uRKV7zMB_600x450.jpg,Im selling my used Bundy II Alto Sax I used years ago in band. There are scuffs on the inner left side of the bell. The pads are in fair condition. The neck may need to be recorked hence the low price. 100 OBO.,fair
89,Rogers R-380 5-Piece Shell Pack Drum Kit,450,https://images.craigslist.org/00q0q_hk6KHsUcjVD_600x450.jpg,"Good Condition

All of the floor tom legs are missing the rubber feet, plus one of the floor tom legs has a tightening lug that is not the right size and is being supported with blue tape for photography purposes; the correct size tightening lug will need to be acquired for this leg to support the floor tom for playability. There are not any resonant heads on any of the toms and the lugs and hoops for them bottom of the toms are missing and not included.",good
90,Master & Dynamic MH40 Noise Isolating Headphones,280,https://images.craigslist.org/00c0c_ePXJGlzgLvu_600x450.jpg,"Used - Mint- Condition!

A couple of very light scuff marks can be found on the stainless steel upon very close inspection.",like new
91,1969 Fender Pro Reverb-Amp Silverface,1855,https://images.craigslist.org/00a0a_8NoqU7ZZx08_600x450.jpg,Excellent Condition!,excellent
92,"20 x 4 1/4"" Return 100' Stage Snake",470,https://images.craigslist.org/00505_iLqExzMqZix_600x450.jpg,"Good Cosmetic Condition, functions flawlessly!",good
93,Tama Swingstar 4-Piece Shell Pack Drum Kit,370,https://images.craigslist.org/00W0W_at6IyX4OOlJ_600x450.jpg,Very Good Condition!,good
94,Fender Classic FC-40 Classical Guitar,170,https://images.craigslist.org/00202_aG4fXr1Rmw_600x450.jpg,"Good Cosmetic Condition, Fair Playable Condition

The has some neck dive and almost could use a neck reset; the action is quite high.",fair
95,2006 Ibanez SR905 5-String Active Bass,830,https://images.craigslist.org/00E0E_gBr9eZNUtAW_600x450.jpg,"Good Cosmetic Condition, Tremendous Playing Condition!",good
